,Mkt-RF,SMB,HML,RF
20000809,-0.6,0.49,0.1,0.022
20000810,-1.03,-0.38,0.97,0.022
20000811,0.86,0.16,0.16,0.022
20000814,1.24,-0.05,-0.39,0.022
20000815,-0.46,-0.06,0.18,0.022
20000816,-0.18,0.7,-0.26,0.022
20000817,1.12,-0.38,-0.55,0.022
20000818,-0.28,0.19,-0.26,0.022
20000821,0.4,-0.06,-0.43,0.022
20000822,-0.01,0.15,-0.16,0.022
20000823,0.55,0.19,-0.94,0.022
20000824,0.34,0.7,-0.89,0.022
20000825,-0.04,0.7,-0.37,0.022
20000828,0.49,-0.26,-0.33,0.022
20000829,-0.03,0.64,-0.17,0.022
20000830,-0.11,0.37,0.18,0.022
20000831,1.19,0.14,-0.58,0.022
20000901,0.38,0.17,-0.36,0.025
20000905,-0.97,-0.25,1.3,0.025
20000906,-1.23,-0.32,1.97,0.025
20000907,0.8,0.71,-0.91,0.025
20000908,-0.83,-0.86,1.2,0.025
20000911,-0.45,-0.79,1.53,0.025
20000912,-0.5,0.32,0.12,0.025
20000913,0.29,-0.09,-0.28,0.025
20000914,0.01,0.87,-0.27,0.025
20000915,-1.23,-0.24,1.24,0.025
20000918,-1.8,-0.35,0.58,0.025
20000919,1.24,0.38,-1.41,0.025
20000920,-0.39,0.68,-0.66,0.025
20000921,-0.54,-0.63,0.93,0.025
20000922,0.4,-0.54,-0.03,0.025
20000925,-0.56,-0.35,0.58,0.025
20000926,-0.96,-0.57,1.13,0.025
20000927,-0.21,-0.66,0.34,0.025
20000928,2.32,0.08,-1.12,0.025
20000929,-1.26,0.58,1.44,0.025
20001002,-0.7,-1.59,1.41,0.025
20001003,-1.29,0.16,0.9,0.025
20001004,0.64,0.12,-0.75,0.025
20001005,-0.23,-0.25,0.35,0.025
20001006,-2.17,-0.09,1.58,0.025
20001009,-0.39,-0.25,0.36,0.025
20001010,-1.44,-0.07,0.88,0.025
20001011,-1.77,-0.08,0.94,0.025
20001012,-2.83,0.6,1.25,0.025
20001013,3.88,-0.59,-2.22,0.025
20001016,0.24,-0.21,-0.43,0.025
20001017,-1.95,0.12,0.72,0.025
20001018,-0.84,-0.36,0.7,0.025
20001019,3.66,-0.49,-2.29,0.025
20001020,0.92,0.51,-1.19,0.025
20001023,0.03,0.65,-0.51,0.025
20001024,-0.12,-0.97,1.16,0.025
20001025,-2.52,-0.14,1.95,0.025
20001026,0,1.02,-0.53,0.025
20001027,0.91,-1.11,1.08,0.025
20001030,0.74,-1.63,1.85,0.025
20001031,2.75,0.68,-1.68,0.025
20001101,-0.48,-0.32,0.58,0.024
20001102,1.05,1.24,-1.02,0.024
20001103,-0.03,1.03,-0.93,0.024
20001106,0.13,-0.73,0.06,0.024
20001107,-0.08,0.22,0.13,0.024
20001108,-1.97,0.22,2.07,0.024
20001109,-0.96,-0.4,0.93,0.024
20001110,-2.69,-0.58,2.48,0.024
20001113,-1.39,-0.08,1.6,0.024
20001114,2.66,-0.03,-1.95,0.024
20001115,0.6,0.05,0.03,0.024
20001116,-1.67,-0.63,1.73,0.024
20001117,-0.52,0.75,0.51,0.024
20001120,-2.46,-0.28,1.63,0.024
20001121,-0.05,-0.77,0.55,0.024
20001122,-2.12,-0.28,2.04,0.024
20001124,2.08,0.87,-2.13,0.024
20001127,0.3,-0.28,-0.52,0.024
20001128,-1.67,-1.21,2.65,0.024
20001129,0.18,-1.62,0.94,0.024
20001130,-2.03,-0.73,1.54,0.024
20001201,0.51,1.48,-0.58,0.025
20001204,0.35,-1.45,0.62,0.025
20001205,4.55,0.07,-2.82,0.025
20001206,-1.78,-0.1,1.35,0.025
20001207,-0.59,0.03,0.52,0.025
20001208,2.79,0.64,-1.29,0.025
20001211,1.15,0.26,-0.95,0.025
20001212,-1.07,-0.52,0.53,0.025
20001213,-1.14,-0.19,0.97,0.025
20001214,-1.8,0.2,0.88,0.025
20001215,-1.96,0.31,1.59,0.025
20001218,0.6,-0.75,1.51,0.025
20001219,-1.63,-0.51,2.19,0.025
20001220,-3.59,-1,3.13,0.025
20001221,0.54,-0.15,0.11,0.025
20001222,3.06,0.64,-1.91,0.025
20001226,0.55,-0.48,0.81,0.025
20001227,1.36,0.78,-0.38,0.025
20001228,0.88,1.81,-0.7,0.025
20001229,-1.23,-0.19,1.37,0.025
20010102,-3.52,-0.14,1.67,0.026
20010103,5.39,0.71,-4.33,0.026
20010104,-1.3,1.03,-0.25,0.026
20010105,-2.98,0.15,2.38,0.026
20010108,-0.36,-0.68,1.25,0.026
20010109,0.51,0.58,-0.39,0.026
20010110,1.44,0.74,-1.06,0.026
20010111,1.39,1.65,-2.9,0.026
20010112,-0.4,1.26,-0.62,0.026
20010116,0.68,1.2,-0.49,0.026
20010117,0.37,0.08,-0.61,0.026
20010118,1.16,-0.05,-1.42,0.026
20010119,-0.55,-0.21,-0.22,0.026
20010122,-0.01,-0.52,1.25,0.026
20010123,1.57,0.31,-0.19,0.026
20010124,0.34,-0.54,-0.15,0.026
20010125,-0.81,-0.54,1.41,0.026
20010126,-0.11,0.3,-0.21,0.026
20010129,0.9,0.63,-0.34,0.026
20010130,0.63,-0.09,-0.28,0.026
20010131,-0.72,0.41,0.32,0.026
20010201,0.39,-0.2,0.56,0.02
20010202,-1.9,-0.26,2.15,0.02
20010205,0.17,-0.51,0.99,0.02
20010206,0.04,1.09,-0.6,0.02
20010207,-0.86,0.66,1.4,0.02
20010208,-0.67,-0.4,0.91,0.02
20010209,-1.42,-0.17,1.27,0.02
20010212,1.1,0.12,0.12,0.02
20010213,-0.9,0.25,0.89,0.02
20010214,-0.04,0.41,-0.35,0.02
20010215,0.93,0.38,-1.01,0.02
20010216,-1.93,-0.65,1.91,0.02
20010220,-1.93,0.23,1.36,0.02
20010221,-1.84,0.03,0.92,0.02
20010222,-0.48,-1.02,0.52,0.02
20010223,-0.38,0.4,-0.44,0.02
20010226,1.91,-0.25,-0.2,0.02
20010227,-1.17,-1.25,1.73,0.02
20010228,-1.48,0.36,0.87,0.02
20010301,0.02,-0.22,-0.06,0.019
20010302,-0.53,0.48,0.98,0.019
20010305,0.54,-0.6,0.04,0.019
20010306,1.06,0.31,-1.02,0.019
20010307,0.58,-0.01,0.46,0.019
20010308,-0.14,-0.64,0.84,0.019
20010309,-2.5,0.29,1.84,0.019
20010312,-4.34,0.56,2.42,0.019
20010313,1.61,-0.25,-1.36,0.019
20010314,-2.5,0.75,0.14,0.019
20010315,0.34,-0.72,0.45,0.019
20010316,-2.11,-0.37,1.23,0.019
20010319,1.86,-0.05,-1.31,0.019
20010320,-2.4,0.62,1.39,0.019
20010321,-1.88,-0.12,0.81,0.019
20010322,-0.43,0.38,-1.38,0.019
20010323,2.08,0.05,-1.06,0.019
20010326,1.09,-0.96,0.44,0.019
20010327,2.4,-0.55,-1.5,0.019
20010328,-2.58,-0.12,2.08,0.019
20010329,-0.53,-0.18,1.49,0.019
20010330,1.19,1.57,-0.45,0.019
20010402,-1.6,-1.72,1.57,0.02
20010403,-3.69,0.05,2.05,0.02
20010404,-0.39,-0.22,0.64,0.02
20010405,4.68,0.28,-3.27,0.02
20010406,-2.07,0.43,0.17,0.02
20010409,0.87,0.26,-0.21,0.02
20010410,2.87,-0.3,-1.5,0.02
20010411,-0.1,-0.16,-0.59,0.02
20010412,1.57,0.27,-1.28,0.02
20010416,-0.47,-0.43,0.75,0.02
20010417,1.1,0.16,-0.32,0.02
20010418,3.92,-1.4,-2.72,0.02
20010419,1.48,0.36,-1.32,0.02
20010420,-0.87,0.13,0.15,0.02
20010423,-1.72,0.27,1.23,0.02
20010424,-1.15,1.13,0.82,0.02
20010425,1.68,0.72,-0.8,0.02
20010426,0.45,0.18,0.39,0.02
20010427,1.47,-0.16,-0.18,0.02
20010430,0.03,0.67,-0.42,0.02
